new square = ['2', '25', '24', '0', '0', '3', '0', '0', '0', '0', '3', '0', '3', '0', '0', '0', '0', '0', '0', '0', '2', '4', '4', '1', '5']
current square = ['2', '43', '42', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1', '0', '3', '4', '1', '0', '0', '4', '1', '4', '4', '2', '5']
new square = ['2', '43', '42', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1', '0', '3', '4', '1', '0', '0', '4', '1', '4', '4', '2', '5']
current square = ['2', '48', '46', '0', '0', '1', '0', '3', '0', '0', '0', '0', '3', '1', '0', '0', '0', '0', '0', '3', '4', '4', '4', '1', '3']
new square = ['2', '48', '46', '0', '0', '1', '0', '3', '0', '0', '0', '0', '3', '1', '0', '0', '0', '0', '0', '3', '4', '4', '4', '1', '3']
current square = ['3', '31', '28', '0', '0', '0', '0', '2', '2', '0', '0', '0', '2', '0', '1', '5', '9', '0', '0', '4', '6', '4', '4', '5', '4']
new square = ['3', '31', '28', '0', '0', '0', '0', '2', '2', '0', '0', '0', '2', '0', '1', '5', '9', '0', '0', '4', '6', '4', '4', '5', '4']
current square = ['4', '5', '4', '0', '0', '1', '3', '0', '3', '2', '3', '2', '0', '0', '2', '6', '4', '2', '-2', '3', '0', '4', '4', '0', '6']
new square = ['4', '5', '4', '0', '0', '1', '3', '0', '3', '2', '3', '2', '0', '0', '2', '6', '4', '2', '-2', '3', '0', '4', '4', '0', '6']
current square = ['4', '26', '23', '0', '0', '0', '0', '1', '3', '2', '3', '2', '3', '2', '2', '4', '1', '0', '0', '0', '0', '4', '4', '2', '7']
new square = ['4', '26', '23', '0', '0', '0', '0', '1', '3', '2', '3', '2', '3', '2', '2', '4', '1', '0', '0', '0', '0', '4', '4', '2', '7']
current square = ['4', '28', '25', '0', '0', '1', '0', '2', '3', '2', '0', '0', '0', '0', '1', '4', '14', '0', '0', '5', '4', '4', '4', '2', '1']
new square = ['4', '28', '25', '0', '0', '1', '0', '2', '3', '2', '0', '0', '0', '0', '1', '4', '14', '0', '0', '5', '4', '4', '4', '2', '1']
current square = ['4', '30', '27', '0', '0', '3', '0', '2', '3', '1', '0', '0', '0', '0', '1', '4', '8', '0', '0', '3', '0', '4', '4', '3', '1']
new square = ['4', '30', '27', '0', '0', '3', '0', '2', '3', '1', '0', '0', '0', '0', '1', '4', '8', '0', '0', '3', '0', '4', '4', '3', '1']
current square = ['4', '35', '31', '0', '0', '1', '1', '0', '4', '0', '4', '0', '0', '0', '2', '5', '3', '0', '0', '2', '0', '4', '4', '5', '6']
new square = ['4', '35', '31', '0', '0', '1', '1', '0', '4', '0', '4', '0', '0', '0', '2', '5', '3', '0', '0', '2', '0', '4', '4', '5', '6']
current square = ['4', '37', '33', '0', '0', '4', '1', '0', '4', '0', '4', '0', '4', '0', '2', '5', '15', '0', '-1', '3', '3', '4', '4', '4', '7']
new square = ['4', '37', '33', '0', '0', '4', '1', '0', '4', '0', '4', '0', '4', '0', '2', '5', '15', '0', '-1', '3', '3', '4', '4', '4', '7']
current square = ['4', '40', '36', '0', '0', '5', '1', '0', '0', '0', '3', '2', '3', '2', '2', '5', '8', '0', '0', '2', '5', '4', '4', '5', '5']
new square = ['4', '40', '36', '0', '0', '5', '1', '0', '0', '0', '3', '2', '3', '2', '2', '5', '8', '0', '0', '2', '5', '4', '4', '5', '5']
